muestra,t,M 5A,DUT 30A,
8,3665,74.856,119.673,
9,4188,79.198,116.845,
10,4713,76.674,119.429,
11,5236,75.114,119.312,
12,5758,79.868,114.579,
13,6282,82.685,118.015,
14,6806,81.267,119.718,
15,7328,75.409,122.260,
16,7851,81.218,119.583,
17,8375,81.437,116.640,
18,8899,78.932,116.734,
19,9421,75.722,121.543,
20,9946,74.147,118.741,
21,10471,76.477,117.192,
22,10994,80.585,116.512,
23,11517,76.039,119.366,
24,12041,75.813,117.659,
muestra,t,M 5A,DUT 30A,
2,527,75.419,117.632,
3,1050,77.954,117.563,
4,1573,75.429,124.047,
5,2097,78.002,116.612,
6,2621,78.781,118.904,
7,3143,77.350,119.285,
8,3666,76.108,119.203,
9,4190,74.457,119.402,
10,4714,74.840,120.015,
11,5237,75.153,122.154,
12,5759,73.918,121.356,
13,6283,78.175,118.070,
14,6807,77.322,116.595,
15,7330,76.428,120.069,
16,7856,77.782,118.942,
17,8380,78.108,117.453,
18,8903,76.160,117.315,
19,9425,78.477,119.095,
20,9949,77.346,117.988,
21,10473,76.734,117.204,
22,10996,72.892,119.258,
23,11519,78.265,122.551,
24,12043,77.870,117.082,
muestra,t,M 5A,DUT 30A,
2,526,78.578,115.508,
3,1049,78.098,115.703,
4,1571,75.617,120.042,
5,2095,78.623,117.192,
6,2619,76.951,118.932,
7,3142,76.595,119.826,
8,3665,75.991,117.673,
9,4188,74.868,117.810,
10,4712,80.548,117.810,
11,5234,78.114,119.393,
12,5761,76.781,119.673,
13,6285,73.823,117.260,
14,6808,74.158,119.556,
15,7331,74.467,119.393,
16,7855,79.919,118.125,
17,8379,82.218,118.222,
18,8902,79.255,123.864,
19,9424,78.770,120.365,
20,9948,81.801,117.879,
21,10472,78.108,114.098,
22,10999,79.804,118.085,
23,11523,78.626,115.667,
muestra,t,M 5A,DUT 30A,
2,526,72.032,115.731,
3,1049,73.838,115.367,
4,1572,73.947,118.468,
5,2095,75.644,119.726,
6,2619,78.236,120.902,
7,3142,76.393,120.096,
8,3665,73.258,119.040,
9,4192,78.696,121.147,
10,4715,77.280,118.741,
11,5238,77.702,119.122,
12,5762,74.515,115.918,
13,6285,75.361,118.167,
14,6808,76.062,118.850,
15,7331,78.459,120.634,
16,7855,74.817,119.646,
17,8379,76.365,118.112,
18,8901,75.892,118.632,
19,9424,75.643,119.610,
20,9948,76.112,118.779,
21,10472,77.192,115.676,
22,10995,77.790,117.783,
23,11518,76.135,118.057,
24,12043,77.860,116.971,
muestra,t,M 5A,DUT 30A,
2,526,80.573,113.043,
3,1048,75.379,119.961,
4,1574,75.997,119.565,
5,2098,72.740,122.021,
6,2620,74.167,119.447,
7,3143,78.117,117.535,
8,3667,74.917,120.934,
9,4191,76.011,114.098,
10,4713,81.630,118.986,
11,5236,75.789,120.741,
12,5760,75.111,116.888,
13,6284,77.576,119.475,
14,6806,79.497,118.194,
15,7329,78.556,115.564,
16,7853,75.870,119.969,
17,8377,75.617,121.223,
18,8900,75.372,116.484,
19,9423,75.671,122.021,
20,9948,78.890,117.385,
21,10470,75.871,118.768,
22,10993,75.665,117.975,
23,11518,73.782,117.577,
24,12044,77.427,118.632,
muestra,t,M 5A,DUT 30A,
2,525,81.021,115.002,
3,1047,78.246,116.234,
4,1571,78.388,114.854,
5,2096,75.666,117.879,
6,2619,77.800,116.873,
7,3141,80.738,118.768,
8,3665,73.648,119.159,
9,4189,78.829,121.116,
10,4712,79.251,119.718,
11,5235,76.763,118.222,
12,5760,78.054,118.179,
13,6282,73.947,118.140,
14,6805,78.971,116.873,
15,7329,75.368,116.888,
16,7853,76.037,118.632,
17,8376,74.636,117.342,
18,8899,79.764,119.772,
19,9423,75.375,121.254,
20,9949,80.277,120.311,
21,10471,77.751,117.177,
22,10994,75.933,115.002,
23,11519,76.246,117.357,
24,12042,76.586,119.529,
muestra,t,M 5A,DUT 30A,
2,527,75.591,118.616,
3,1050,77.861,114.325,
4,1572,76.832,119.231,
5,2096,78.303,115.639,
6,2620,73.806,118.904,
7,3142,81.240,121.436,
8,3665,77.683,117.755,
9,4190,74.358,118.752,
10,4712,74.037,118.249,
11,5235,78.037,118.112,
12,5758,77.277,116.456,
13,6283,81.996,119.726,
14,6805,75.521,121.968,
15,7328,74.750,120.150,
16,7855,75.287,121.041,
17,8379,80.770,118.616,
18,8902,76.030,119.013,
19,9425,77.798,118.550,
20,9950,77.942,116.390,
21,10472,76.737,117.122,
22,10995,78.524,113.757,
23,11518,74.939,117.011,
24,12043,70.244,116.833,
muestra,t,M 5A,DUT 30A,
2,525,75.383,118.823,
3,1048,78.851,116.789,
4,1573,76.427,117.219,
5,2096,78.269,120.714,
6,2618,76.313,115.620,
7,3141,75.770,118.632,
8,3666,77.226,115.918,
9,4188,79.144,118.823,
10,4711,75.877,118.003,
11,5235,76.182,118.996,
12,5761,77.645,116.234,
13,6283,77.070,120.419,
14,6806,77.095,118.550,
15,7330,79.295,116.418,
16,7854,78.623,125.267,
17,8376,79.849,117.590,
18,8900,78.243,119.619,
19,9425,76.386,116.501,
20,9948,76.169,121.623,
21,10470,72.488,116.789,
22,10994,79.140,118.043,
23,11518,76.595,120.553,
muestra,t,M 5A,DUT 30A,
2,526,78.711,114.041,
3,1049,81.210,117.011,
4,1571,75.360,115.423,
5,2096,77.443,117.082,
6,2619,77.874,115.536,
7,3141,77.845,117.480,
8,3665,78.326,119.457,
9,4193,76.200,116.806,
10,4715,78.428,116.983,
11,5238,77.649,118.359,
12,5762,81.126,116.307,
13,6285,79.599,119.231,
14,6808,80.134,116.734,
15,7331,77.425,115.843,
16,7855,81.600,115.387,
17,8379,80.805,116.094,
18,8901,78.552,114.579,
19,9424,74.984,115.955,
20,9948,78.524,117.577,
21,10472,80.433,114.748,
22,10994,76.750,112.728,
23,11517,79.469,114.126,
24,12043,80.011,116.667,
muestra,t,M 5A,DUT 30A,
2,526,75.699,117.687,
3,1050,78.335,115.536,
4,1572,76.338,116.706,
5,2097,80.171,115.227,
6,2622,75.490,118.480,
7,3145,76.268,120.902,
8,3668,75.982,116.956,
9,4192,78.031,116.750,
10,4715,73.772,117.315,
11,5239,79.101,118.534,
12,5762,80.317,118.768,
13,6286,85.204,117.988,
14,6810,73.229,121.409,
15,7333,83.114,117.948,
16,7855,78.874,120.204,
17,8379,76.041,119.699,
18,8903,76.419,116.762,
19,9426,79.990,119.339,
20,9948,79.187,116.429,
21,10473,81.029,116.362,
22,10996,80.770,114.664,
23,11519,78.856,115.703,
24,12046,76.938,116.390,
muestra,t,M 5A,DUT 30A,
2,527,80.142,114.098,
3,1049,75.700,118.604,
4,1572,80.276,116.401,
5,2096,73.812,116.362,
6,2619,83.363,117.453,
7,3142,76.915,119.285,
8,3665,78.132,116.817,
9,4189,76.846,115.443,
10,4712,80.651,120.982,
11,5235,78.732,118.768,
12,5758,75.396,118.441,
13,6282,75.027,118.097,
14,6805,75.437,118.714,
15,7328,77.185,116.762,
16,7851,78.539,119.393,
17,8376,78.693,116.557,
18,8899,78.905,116.706,
19,9421,75.162,120.473,
20,9948,77.412,117.659,
21,10472,80.659,116.262,
22,10994,80.386,117.838,
23,11517,78.449,116.234,
24,12041,76.709,118.179,
muestra,t,M 5A,DUT 30A,
2,526,81.039,117.412,
3,1051,79.013,113.668,
4,1574,78.063,118.795,
5,2096,73.335,116.150,
6,2620,76.836,118.207,
7,3144,75.138,120.848,
8,3666,80.341,113.643,
9,4189,71.767,118.140,
10,4713,75.649,119.592,
11,5237,79.522,120.392,
12,5759,71.301,116.345,
13,6283,76.116,118.207,
14,6808,80.915,115.918,
15,7331,80.467,114.523,
16,7856,79.919,118.249,
17,8380,77.350,119.888,
18,8904,76.880,119.799,
19,9426,84.362,118.577,
20,9950,80.335,121.121,
21,10473,80.505,115.955,
22,10997,79.805,113.415,
23,11520,74.748,115.843,
muestra,t,M 5A,DUT 30A,
2,525,76.922,116.067,
3,1048,78.352,116.484,
4,1572,79.136,117.522,
5,2096,78.816,115.815,
6,2618,76.361,117.480,
7,3141,77.072,120.822,
8,3665,72.636,118.779,
9,4188,78.742,118.222,
10,4711,76.807,115.395,
11,5233,73.411,118.030,
12,5758,80.458,116.113,
13,6284,75.342,117.122,
14,6806,79.007,117.838,
15,7330,76.657,116.057,
16,7854,76.909,120.015,
17,8376,74.885,120.580,
18,8899,75.480,118.577,
19,9423,74.839,115.806,
20,9947,79.882,118.959,
21,10470,78.948,115.731,
22,10992,75.556,116.429,
23,11516,80.068,115.499,
24,12040,76.025,120.042,
muestra,t,M 5A,DUT 30A,
2,526,80.517,118.507,
3,1050,76.952,114.438,
4,1572,77.399,120.580,
5,2095,75.020,120.123,
6,2618,76.785,116.750,
7,3142,73.763,117.728,
8,3664,80.454,117.920,
9,4189,77.639,118.959,
10,4714,74.489,119.484,
11,5237,76.290,118.441,
12,5760,78.125,117.618,
13,6284,79.070,118.643,
14,6807,77.743,119.285,
15,7330,78.937,116.956,
16,7853,80.008,116.873,
17,8377,77.694,117.577,
18,8900,73.846,115.759,
19,9423,79.142,116.289,
20,9946,75.807,119.122,
21,10470,76.116,119.267,
22,10993,75.671,120.902,
23,11516,76.222,120.768,
24,12039,74.888,114.296,
muestra,t,M 5A,DUT 30A,
2,526,78.376,113.956,
3,1049,75.390,119.393,
4,1571,74.861,120.419,
5,2098,73.794,118.833,
6,2621,74.209,117.893,
7,3144,75.152,119.393,
8,3667,76.361,117.920,
9,4192,73.827,128.694,
10,4715,74.189,122.021,
11,5238,76.802,119.529,
12,5762,75.148,119.321,
13,6285,76.834,122.709,
14,6808,75.937,119.583,
15,7331,73.129,153.800,
16,7855,75.400,119.565,
17,8379,75.300,119.826,
18,8901,76.129,119.393,
19,9424,76.713,119.610,
20,9948,75.690,119.159,
21,10472,74.712,116.456,

