muestra,t,M 5A,DUT 30A,
14,6808,80.358,124.125,
15,7330,80.196,122.762,
16,7854,79.578,124.382,
17,8378,82.146,119.502,
18,8901,77.810,124.334,
19,9423,75.566,128.733,
20,9946,78.123,125.628,
21,10470,76.781,123.130,
22,10992,80.152,122.762,
23,11515,79.895,123.969,
24,12040,77.814,123.836,
muestra,t,M 5A,DUT 30A,
2,527,79.104,122.788,
3,1050,79.052,119.095,
4,1574,80.843,124.957,
5,2098,79.457,125.853,
6,2623,80.239,124.589,
7,3146,80.191,123.969,
8,3669,80.129,123.314,
9,4194,80.532,123.313,
10,4716,80.495,121.143,
11,5239,78.019,124.723,
12,5763,76.776,124.563,
13,6287,79.633,121.729,
14,6810,77.990,124.931,
15,7333,79.466,126.297,
16,7857,76.297,125.313,
17,8381,78.403,124.749,
18,8904,80.343,123.498,
19,9427,78.134,123.498,
20,9951,78.866,126.543,
21,10475,80.090,122.127,
22,10998,78.878,123.367,
23,11520,80.455,120.338,
24,12046,80.385,124.308,
muestra,t,M 5A,DUT 30A,
2,525,78.704,122.577,
3,1048,78.868,123.575,
4,1572,81.439,123.104,
5,2095,81.603,126.168,
6,2618,80.635,124.827,
7,3142,79.473,124.304,
8,3665,78.544,124.177,
9,4188,81.113,123.890,
10,4711,79.348,127.394,
11,5236,78.989,125.287,
12,5759,80.451,124.438,
13,6281,80.047,126.168,
14,6806,78.268,126.849,
15,7329,79.004,123.864,
16,7852,77.605,125.319,
17,8375,80.388,126.783,
18,8899,80.843,126.237,
19,9423,80.806,122.630,
20,9948,81.923,123.104,
21,10471,79.898,122.445,
22,10996,77.927,122.023,
23,11519,79.811,122.603,
24,12042,78.570,122.127,
muestra,t,M 5A,DUT 30A,
2,527,79.902,125.003,
3,1050,79.840,124.177,
4,1573,78.818,124.697,
5,2096,81.955,123.864,
6,2621,78.863,122.156,
7,3143,78.882,125.937,
8,3667,78.131,121.652,
9,4191,81.800,123.757,
10,4715,81.450,123.051,
11,5238,79.792,127.089,
12,5761,78.043,125.860,
13,6285,79.102,125.827,
14,6808,81.902,122.207,
15,7331,77.505,124.672,
16,7856,81.802,122.920,
17,8381,77.460,124.252,
18,8905,81.828,123.862,
19,9428,79.556,126.168,
20,9952,80.119,126.441,
21,10476,75.320,125.112,
22,10999,80.196,125.886,
23,11522,79.782,124.099,
24,12046,78.867,121.732,
muestra,t,M 5A,DUT 30A,
2,525,79.920,121.463,
3,1051,80.922,120.405,
4,1574,79.487,122.313,
5,2097,79.075,123.707,
6,2621,82.925,124.926,
7,3145,81.103,123.262,
8,3668,78.461,125.603,
9,4190,77.830,124.827,
10,4713,81.652,124.542,
11,5237,79.012,123.104,
12,5762,80.420,122.021,
13,6285,79.689,123.051,
14,6809,81.755,125.313,
15,7333,79.281,123.078,
16,7856,80.047,124.594,
17,8380,78.921,130.041,
18,8904,80.101,124.151,
19,9427,78.708,123.524,
20,9949,78.945,123.864,
21,10473,79.996,119.915,
22,10997,78.136,123.864,
23,11520,80.364,122.154,
24,12043,79.666,119.556,
muestra,t,M 5A,DUT 30A,
2,526,79.307,123.969,
3,1049,82.490,121.995,
4,1571,82.004,122.735,
5,2095,78.114,127.484,
6,2619,79.696,124.646,
7,3144,80.446,123.104,
8,3667,81.309,125.886,
9,4191,78.971,127.332,
10,4715,79.582,122.709,
11,5238,80.298,123.445,
12,5761,79.904,124.438,
13,6286,80.182,124.486,
14,6809,76.983,123.603,
15,7332,79.728,124.125,
16,7856,80.285,124.693,
17,8380,77.421,122.260,
18,8903,79.813,122.841,
