muestra,t,M 5A,DUT 30A,
19,9426,81.694,127.180,
20,9949,78.405,124.749,
21,10473,74.693,126.365,
22,10997,77.975,126.297,
23,11520,83.747,121.116,
24,12043,84.724,121.276,
muestra,t,M 5A,DUT 30A,
2,525,80.051,123.707,
3,1049,86.691,123.757,
4,1573,86.547,124.749,
5,2095,79.425,127.597,
6,2618,78.968,118.413,
7,3145,81.164,124.719,
8,3668,77.924,123.602,
9,4190,81.126,127.774,
10,4714,73.948,125.210,
11,5238,74.090,125.834,
12,5760,80.037,125.216,
13,6283,76.930,126.987,
14,6807,75.275,128.568,
15,7330,77.209,125.860,
16,7853,85.128,123.864,
17,8376,78.034,124.905,
18,8900,87.328,126.722,
19,9424,84.660,125.034,
20,9947,82.949,122.021,
21,10469,80.388,121.036,
22,10993,79.470,122.472,
23,11517,81.199,122.313,
24,12040,88.449,123.340,
muestra,t,M 5A,DUT 30A,
2,525,77.413,125.009,
3,1050,85.274,124.438,
4,1574,81.201,124.125,
5,2097,82.029,126.297,
6,2619,82.196,127.876,
7,3142,86.707,123.262,
8,3667,82.989,124.745,
9,4189,72.845,123.916,
10,4712,83.954,130.283,
11,5236,82.280,127.306,
12,5759,80.706,126.757,
13,6283,89.689,121.546,
14,6806,81.102,127.901,
15,7330,80.277,125.029,
16,7854,86.445,123.472,
17,8376,82.067,125.060,
18,8900,73.454,126.083,
19,9425,82.173,126.416,
20,9948,81.830,122.656,
21,10471,76.907,123.078,
22,10995,82.870,122.288,
23,11521,79.442,121.756,
24,12043,82.736,120.015,
muestra,t,M 5A,DUT 30A,
2,527,79.615,120.318,
3,1050,75.071,123.209,
4,1572,82.938,128.204,
5,2098,79.610,125.955,
6,2620,80.560,125.422,
7,3143,81.194,123.025,
8,3667,83.337,125.673,
9,4191,83.131,126.322,
10,4713,81.232,123.602,
11,5236,80.439,125.603,
12,5760,82.139,125.596,
13,6284,81.159,122.972,
14,6807,76.149,126.885,
15,7329,79.542,124.516,
16,7854,81.297,126.951,
17,8378,83.688,127.622,
18,8900,84.903,127.114,
19,9426,86.735,124.693,
20,9950,79.386,125.190,
21,10473,79.410,126.399,
22,10996,83.073,124.568,
23,11520,78.515,125.210,
24,12045,75.496,122.867,
muestra,t,M 5A,DUT 30A,
2,525,78.359,124.047,
3,1049,88.983,124.174,
4,1573,82.942,126.961,
5,2096,82.992,127.597,
6,2618,80.291,125.603,
7,3143,77.184,127.686,
8,3666,79.464,126.987,
9,4189,78.703,126.450,
10,4712,81.996,124.775,
11,5236,82.981,124.667,
12,5760,81.062,124.749,
13,6282,78.244,124.723,
14,6805,76.265,127.622,
15,7333,80.806,124.278,
16,7855,81.293,123.707,
17,8378,80.677,123.995,
18,8902,83.322,129.469,
19,9426,80.220,124.646,
20,9949,80.030,122.021,
21,10471,83.530,123.812,
22,10996,71.789,122.736,
23,11519,82.807,122.048,
24,12042,86.591,121.729,
muestra,t,M 5A,DUT 30A,
2,526,76.514,125.138,
3,1050,82.916,122.499,
4,1573,84.420,127.394,
5,2097,82.055,122.893,
6,2620,72.817,123.629,
7,3143,85.552,123.707,
8,3666,78.181,126.578,
9,4191,76.431,130.017,
10,4714,77.447,124.931,
11,5240,79.205,126.696,
12,5764,81.050,127.737,
13,6288,82.151,125.603,
14,6811,73.577,124.568,
15,7334,83.332,124.438,
16,7859,83.059,124.174,
17,8382,83.150,124.281,
18,8904,78.165,127.774,
19,9428,81.230,125.416,
20,9952,74.972,122.101,
21,10475,85.560,127.470,
22,10998,81.618,125.216,
23,11522,76.076,123.365,
24,12046,86.715,121.489,
muestra,t,M 5A,DUT 30A,
2,526,77.031,123.208,
3,1050,78.708,121.463,
4,1573,87.156,123.314,
5,2096,79.425,125.216,
6,2623,78.682,123.051,
7,3146,79.541,126.501,
8,3669,85.473,125.886,
9,4193,76.719,124.745,
10,4716,77.160,126.066,
11,5239,77.722,127.343,
12,5762,83.531,122.471,
13,6286,78.197,125.622,
14,6810,77.767,124.723,
15,7333,87.261,126.245,
16,7856,80.315,127.241,
17,8380,78.594,125.261,
18,8903,78.903,127.825,
19,9426,84.412,127.521,
20,9949,80.800,125.034,
21,10473,88.080,119.799,
22,10996,83.638,121.702,
23,11519,79.489,122.551,
24,12043,76.027,122.288,
muestra,t,M 5A,DUT 30A,
2,530,86.213,122.023,
3,1053,87.280,124.125,
4,1577,83.846,126.083,
5,2100,82.321,124.853,
6,2625,78.243,126.594,
7,3148,82.366,124.542,
8,3671,83.022,123.235,
9,4195,86.197,123.130,
10,4719,76.244,123.655,
11,5242,75.450,126.373,
12,5764,81.207,126.194,
13,6288,88.257,124.096,
14,6812,85.910,125.628,
15,7335,75.856,125.937,
16,7858,78.421,126.680,
17,8383,90.278,122.578,
18,8906,75.396,126.987,
19,9429,77.828,124.620,
20,9957,79.841,124.174,
21,10481,76.833,122.233,
22,11007,75.756,123.235,
23,11531,85.204,124.382,
24,12054,87.394,122.788,
muestra,t,M 5A,DUT 30A,
2,525,79.092,125.886,
3,1049,82.474,125.622,
4,1574,83.433,127.838,
5,2097,84.884,125.009,
6,2620,80.256,124.151,
7,3144,83.077,125.981,
8,3668,75.008,124.620,
9,4190,76.200,124.203,
10,4713,86.505,125.989,
11,5237,77.237,127.560,
12,5761,81.447,126.629,
13,6284,82.804,125.422,
14,6807,81.884,122.683,
15,7332,77.521,126.339,
16,7855,85.092,124.386,
17,8377,77.976,122.841,
18,8904,84.623,125.287,
19,9427,83.664,126.014,
20,9950,78.362,126.322,
21,10473,79.874,134.945,
22,10997,73.376,126.926,
23,11521,77.608,123.890,
24,12043,77.663,126.501,
muestra,t,M 5A,DUT 30A,
2,525,83.837,124.021,
3,1049,81.754,125.827,
4,1573,84.392,123.969,
5,2096,80.227,121.649,
6,2618,78.975,127.572,
7,3142,79.540,126.696,
8,3666,80.432,125.474,
9,4188,83.211,126.271,
10,4711,81.502,125.009,
11,5236,76.146,126.032,
12,5759,79.601,123.786,
13,6282,82.356,122.260,
14,6808,80.080,132.647,
15,7332,87.396,124.646,
16,7855,83.823,125.060,
17,8377,80.126,126.014,
18,8902,86.761,126.007,
19,9425,80.024,128.532,
20,9948,74.939,127.876,
21,10471,85.939,121.009,
22,10996,79.828,123.418,
23,11518,85.561,124.931,
muestra,t,M 5A,DUT 30A,
2,526,82.899,125.319,
3,1048,86.449,121.036,
4,1572,81.338,125.622,
5,2096,75.323,125.989,
6,2618,78.909,127.445,
7,3141,85.070,122.207,
8,3666,80.566,128.694,
9,4189,84.315,123.524,
10,4711,78.044,125.474,
11,5238,73.322,125.750,
12,5761,80.284,128.129,
13,6284,75.357,126.885,
14,6807,78.334,126.936,
15,7331,83.240,124.252,
16,7855,81.433,128.002,
17,8378,74.429,124.568,
18,8901,81.846,126.732,
19,9426,78.798,121.626,
20,9949,75.850,123.942,
21,10472,86.102,123.367,
22,10996,78.545,121.838,
23,11520,74.779,127.597,
24,12043,83.267,124.412,
muestra,t,M 5A,DUT 30A,
2,525,75.757,124.203,
3,1048,80.442,122.709,
4,1573,79.855,128.719,
5,2096,79.144,124.360,
6,2618,74.066,124.905,
7,3145,77.469,125.442,
8,3668,79.271,128.078,
9,4191,82.733,127.495,
10,4714,77.932,128.330,
11,5238,72.344,126.109,
12,5762,73.852,123.288,
13,6285,73.869,129.035,
14,6807,84.251,124.282,
15,7331,81.456,127.470,
16,7854,75.194,128.280,
17,8377,83.125,123.235,
18,8901,81.804,120.827,
19,9425,85.465,127.063,
20,9947,83.200,126.450,
21,10470,78.951,124.334,
22,10993,75.817,127.267,
23,11517,84.193,122.788,
24,12040,79.115,125.500,
